id ,farm_id,sonotype ,time ,date ,,,,,,,,,,,,,,,number of bat species ,shannon diversity ,number of shade trees,shannon index shade trees 
,afia_a ,QCF_20_29_E,19:15:10,22/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,00:35:55,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,FM_CF_61_70_R,00:45:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,01:45:05,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,01:45:20,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,FM_CF_61_70_R,04:45:20,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,02:55:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,03:10:11,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,FM_CF_61_70_R,18:20:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,FM_CF_61_70_R,18:30:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,FM_CF_61_70_R,18:30:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,18:35:46,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,18:35:46,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,18:35:51,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,18:35:51,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,18:35:56,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,FM_40_45_VM,19:15:11,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:25:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:25:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:25:50,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:01,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:21,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:26,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:31,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:36,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:46,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:51,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:35:56,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:40:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:40:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:40:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:40:35,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:40:40,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:40:45,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:40:55,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:45:00,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:45:10,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:45:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:45:20,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:45:30,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:50:15,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:50:50,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_30_40_M,19:55:11,21/10/2024,,,,,,,,,,,,,,,,,,
,ama_a,QCF_20_29_M,19:55:16,21/10/2024,,,,,,,,,,,,,,,,,,
